id,title,price,images,description,tags,slug
22,Наушники Флагманский Pixel-22,5346,https://picsum.photos/seed/product-22-img-0/600/600;https://picsum.photos/seed/product-22-img-1/600/600;https://picsum.photos/seed/product-22-img-2/600/600;https://picsum.photos/seed/product-22-img-3/600/600,"Описание товара Наушники Флагманский Pixel-22. Это отличный выбор, если вы ищете наушники. В комплекте 4 фото.",наушники;флагман,naushniki-flagmanskiy-pixel-22
23,Чехол Стильный Pixel-23,34987,https://picsum.photos/seed/product-23-img-0/600/600;https://picsum.photos/seed/product-23-img-1/600/600;https://picsum.photos/seed/product-23-img-2/600/600;https://picsum.photos/seed/product-23-img-3/600/600;https://picsum.photos/seed/product-23-img-4/600/600,"Описание товара Чехол Стильный Pixel-23. Это отличный выбор, если вы ищете чехол. В комплекте 5 фото.",чехол;стильный,chekhol-stilnyy-pixel-23
24,Смартфон Быстрый Pixel-24,6110,https://picsum.photos/seed/product-24-img-0/600/600;https://picsum.photos/seed/product-24-img-1/600/600;https://picsum.photos/seed/product-24-img-2/600/600;https://picsum.photos/seed/product-24-img-3/600/600;https://picsum.photos/seed/product-24-img-4/600/600,"Описание товара Смартфон Быстрый Pixel-24. Это отличный выбор, если вы ищете смартфон. В комплекте 5 фото.",смартфон;быстрый,smartfon-bystryy-pixel-24
25,Ноутбук Мощный Pixel-25,3127,https://picsum.photos/seed/product-25-img-0/600/600;https://picsum.photos/seed/product-25-img-1/600/600,"Описание товара Ноутбук Мощный Pixel-25. Это отличный выбор, если вы ищете ноутбук. В комплекте 2 фото.",ноутбук;мощный,noutbuk-moshchnyy-pixel-25
26,Наушники Бюджетный Pixel-26,24148,https://picsum.photos/seed/product-26-img-0/600/600;https://picsum.photos/seed/product-26-img-1/600/600;https://picsum.photos/seed/product-26-img-2/600/600,"Описание товара Наушники Бюджетный Pixel-26. Это отличный выбор, если вы ищете наушники. В комплекте 3 фото.",наушники;бюджет,naushniki-byudzhetnyy-pixel-26
27,Смартфон Стильный Pixel-27,47845,https://picsum.photos/seed/product-27-img-0/600/600;https://picsum.photos/seed/product-27-img-1/600/600;https://picsum.photos/seed/product-27-img-2/600/600;https://picsum.photos/seed/product-27-img-3/600/600,"Описание товара Смартфон Стильный Pixel-27. Это отличный выбор, если вы ищете смартфон. В комплекте 4 фото.",смартфон;стильный,smartfon-stilnyy-pixel-27
28,Наушники Флагманский Pixel-28,19661,https://picsum.photos/seed/product-28-img-0/600/600;https://picsum.photos/seed/product-28-img-1/600/600,"Описание товара Наушники Флагманский Pixel-28. Это отличный выбор, если вы ищете наушники. В комплекте 2 фото.",наушники;флагман,naushniki-flagmanskiy-pixel-28
29,Смартфон Мощный Pixel-29,21578,https://picsum.photos/seed/product-29-img-0/600/600;https://picsum.photos/seed/product-29-img-1/600/600;https://picsum.photos/seed/product-29-img-2/600/600;https://picsum.photos/seed/product-29-img-3/600/600;https://picsum.photos/seed/product-29-img-4/600/600,"Описание товара Смартфон Мощный Pixel-29. Это отличный выбор, если вы ищете смартфон. В комплекте 5 фото.",смартфон;мощный,smartfon-moshchnyy-pixel-29
30,Ноутбук Красный Pixel-30,38159,https://picsum.photos/seed/product-30-img-0/600/600;https://picsum.photos/seed/product-30-img-1/600/600;https://picsum.photos/seed/product-30-img-2/600/600;https://picsum.photos/seed/product-30-img-3/600/600,"Описание товара Ноутбук Красный Pixel-30. Это отличный выбор, если вы ищете ноутбук. В комплекте 4 фото.",ноутбук;красный,noutbuk-krasnyy-pixel-30
31,Смартфон Бюджетный Pixel-31,4229,https://picsum.photos/seed/product-31-img-0/600/600;https://picsum.photos/seed/product-31-img-1/600/600,"Описание товара Смартфон Бюджетный Pixel-31. Это отличный выбор, если вы ищете смартфон. В комплекте 2 фото.",смартфон;бюджет,smartfon-byudzhetnyy-pixel-31
32,Наушники Быстрый Pixel-32,5838,https://picsum.photos/seed/product-32-img-0/600/600;https://picsum.photos/seed/product-32-img-1/600/600;https://picsum.photos/seed/product-32-img-2/600/600;https://picsum.photos/seed/product-32-img-3/600/600;https://picsum.photos/seed/product-32-img-4/600/600,"Описание товара Наушники Быстрый Pixel-32. Это отличный выбор, если вы ищете наушники. В комплекте 5 фото.",наушники;быстрый,naushniki-bystryy-pixel-32
33,Смартфон Мощный Pixel-33,22205,https://picsum.photos/seed/product-33-img-0/600/600;https://picsum.photos/seed/product-33-img-1/600/600;https://picsum.photos/seed/product-33-img-2/600/600;https://picsum.photos/seed/product-33-img-3/600/600,"Описание товара Смартфон Мощный Pixel-33. Это отличный выбор, если вы ищете смартфон. В комплекте 4 фото.",смартфон;мощный,smartfon-moshchnyy-pixel-33
34,Смартфон Бюджетный Pixel-34,18497,https://picsum.photos/seed/product-34-img-0/600/600;https://picsum.photos/seed/product-34-img-1/600/600;https://picsum.photos/seed/product-34-img-2/600/600;https://picsum.photos/seed/product-34-img-3/600/600;https://picsum.photos/seed/product-34-img-4/600/600,"Описание товара Смартфон Бюджетный Pixel-34. Это отличный выбор, если вы ищете смартфон. В комплекте 5 фото.",смартфон;бюджет,smartfon-byudzhetnyy-pixel-34
35,Смартфон Флагманский Pixel-35,19441,https://picsum.photos/seed/product-35-img-0/600/600;https://picsum.photos/seed/product-35-img-1/600/600;https://picsum.photos/seed/product-35-img-2/600/600,"Описание товара Смартфон Флагманский Pixel-35. Это отличный выбор, если вы ищете смартфон. В комплекте 3 фото.",смартфон;флагман,smartfon-flagmanskiy-pixel-35
36,Часы Красный Pixel-36,32532,https://picsum.photos/seed/product-36-img-0/600/600;https://picsum.photos/seed/product-36-img-1/600/600;https://picsum.photos/seed/product-36-img-2/600/600;https://picsum.photos/seed/product-36-img-3/600/600,"Описание товара Часы Красный Pixel-36. Это отличный выбор, если вы ищете часы. В комплекте 4 фото.",часы;красный,chasy-krasnyy-pixel-36
37,Ноутбук Красный Pixel-37,24625,https://picsum.photos/seed/product-37-img-0/600/600;https://picsum.photos/seed/product-37-img-1/600/600;https://picsum.photos/seed/product-37-img-2/600/600,"Описание товара Ноутбук Красный Pixel-37. Это отличный выбор, если вы ищете ноутбук. В комплекте 3 фото.",ноутбук;красный,noutbuk-krasnyy-pixel-37
38,Наушники Флагманский Pixel-38,32579,https://picsum.photos/seed/product-38-img-0/600/600;https://picsum.photos/seed/product-38-img-1/600/600,"Описание товара Наушники Флагманский Pixel-38. Это отличный выбор, если вы ищете наушники. В комплекте 2 фото.",наушники;флагман,naushniki-flagmanskiy-pixel-38
39,Смартфон Мощный Pixel-39,36702,https://picsum.photos/seed/product-39-img-0/600/600;https://picsum.photos/seed/product-39-img-1/600/600;https://picsum.photos/seed/product-39-img-2/600/600,"Описание товара Смартфон Мощный Pixel-39. Это отличный выбор, если вы ищете смартфон. В комплекте 3 фото.",смартфон;мощный,smartfon-moshchnyy-pixel-39
40,Чехол Бюджетный Pixel-40,31601,https://picsum.photos/seed/product-40-img-0/600/600;https://picsum.photos/seed/product-40-img-1/600/600,"Описание товара Чехол Бюджетный Pixel-40. Это отличный выбор, если вы ищете чехол. В комплекте 2 фото.",чехол;бюджет,chekhol-byudzhetnyy-pixel-40
41,Смартфон Бюджетный Pixel-41,36260,https://picsum.photos/seed/product-41-img-0/600/600;https://picsum.photos/seed/product-41-img-1/600/600;https://picsum.photos/seed/product-41-img-2/600/600;https://picsum.photos/seed/product-41-img-3/600/600;https://picsum.photos/seed/product-41-img-4/600/600,"Описание товара Смартфон Бюджетный Pixel-41. Это отличный выбор, если вы ищете смартфон. В комплекте 5 фото.",смартфон;бюджет,smartfon-byudzhetnyy-pixel-41
42,Наушники Мощный Pixel-42,48230,https://picsum.photos/seed/product-42-img-0/600/600;https://picsum.photos/seed/product-42-img-1/600/600,"Описание товара Наушники Мощный Pixel-42. Это отличный выбор, если вы ищете наушники. В комплекте 2 фото.",наушники;мощный,naushniki-moshchnyy-pixel-42
43,Наушники Бюджетный Pixel-43,45338,https://picsum.photos/seed/product-43-img-0/600/600;https://picsum.photos/seed/product-43-img-1/600/600;https://picsum.photos/seed/product-43-img-2/600/600;https://picsum.photos/seed/product-43-img-3/600/600,"Описание товара Наушники Бюджетный Pixel-43. Это отличный выбор, если вы ищете наушники. В комплекте 4 фото.",наушники;бюджет,naushniki-byudzhetnyy-pixel-43
44,Наушники Стильный Pixel-44,11728,https://picsum.photos/seed/product-44-img-0/600/600;https://picsum.photos/seed/product-44-img-1/600/600;https://picsum.photos/seed/product-44-img-2/600/600,"Описание товара Наушники Стильный Pixel-44. Это отличный выбор, если вы ищете наушники. В комплекте 3 фото.",наушники;стильный,naushniki-stilnyy-pixel-44
45,Смартфон Быстрый Pixel-45,45299,https://picsum.photos/seed/product-45-img-0/600/600;https://picsum.photos/seed/product-45-img-1/600/600;https://picsum.photos/seed/product-45-img-2/600/600,"Описание товара Смартфон Быстрый Pixel-45. Это отличный выбор, если вы ищете смартфон. В комплекте 3 фото.",смартфон;быстрый,smartfon-bystryy-pixel-45
46,Наушники Стильный Pixel-46,26359,https://picsum.photos/seed/product-46-img-0/600/600;https://picsum.photos/seed/product-46-img-1/600/600;https://picsum.photos/seed/product-46-img-2/600/600;https://picsum.photos/seed/product-46-img-3/600/600;https://picsum.photos/seed/product-46-img-4/600/600,"Описание товара Наушники Стильный Pixel-46. Это отличный выбор, если вы ищете наушники. В комплекте 5 фото.",наушники;стильный,naushniki-stilnyy-pixel-46
47,Чехол Красный Pixel-47,28849,https://picsum.photos/seed/product-47-img-0/600/600;https://picsum.photos/seed/product-47-img-1/600/600;https://picsum.photos/seed/product-47-img-2/600/600;https://picsum.photos/seed/product-47-img-3/600/600;https://picsum.photos/seed/product-47-img-4/600/600,"Описание товара Чехол Красный Pixel-47. Это отличный выбор, если вы ищете чехол. В комплекте 5 фото.",чехол;красный,chekhol-krasnyy-pixel-47
48,Смартфон Флагманский Pixel-48,11842,https://picsum.photos/seed/product-48-img-0/600/600;https://picsum.photos/seed/product-48-img-1/600/600;https://picsum.photos/seed/product-48-img-2/600/600;https://picsum.photos/seed/product-48-img-3/600/600;https://picsum.photos/seed/product-48-img-4/600/600,"Описание товара Смартфон Флагманский Pixel-48. Это отличный выбор, если вы ищете смартфон. В комплекте 5 фото.",смартфон;флагман,smartfon-flagmanskiy-pixel-48
49,Наушники Стильный Pixel-49,42305,https://picsum.photos/seed/product-49-img-0/600/600;https://picsum.photos/seed/product-49-img-1/600/600;https://picsum.photos/seed/product-49-img-2/600/600,"Описание товара Наушники Стильный Pixel-49. Это отличный выбор, если вы ищете наушники. В комплекте 3 фото.",наушники;стильный,naushniki-stilnyy-pixel-49
50,Часы Бюджетный Pixel-50,8736,https://picsum.photos/seed/product-50-img-0/600/600;https://picsum.photos/seed/product-50-img-1/600/600,"Описание товара Часы Бюджетный Pixel-50. Это отличный выбор, если вы ищете часы. В комплекте 2 фото.",часы;бюджет,chasy-byudzhetnyy-pixel-50
51,Смартфон Быстрый Pixel-51,48769,https://picsum.photos/seed/product-51-img-0/600/600;https://picsum.photos/seed/product-51-img-1/600/600;https://picsum.photos/seed/product-51-img-2/600/600,"Описание товара Смартфон Быстрый Pixel-51. Это отличный выбор, если вы ищете смартфон. В комплекте 3 фото.",смартфон;быстрый,smartfon-bystryy-pixel-51
52,Ноутбук Быстрый Pixel-52,15836,https://picsum.photos/seed/product-52-img-0/600/600;https://picsum.photos/seed/product-52-img-1/600/600,"Описание товара Ноутбук Быстрый Pixel-52. Это отличный выбор, если вы ищете ноутбук. В комплекте 2 фото.",ноутбук;быстрый,noutbuk-bystryy-pixel-52
53,Чехол Мощный Pixel-53,48116,https://picsum.photos/seed/product-53-img-0/600/600;https://picsum.photos/seed/product-53-img-1/600/600,"Описание товара Чехол Мощный Pixel-53. Это отличный выбор, если вы ищете чехол. В комплекте 2 фото.",чехол;мощный,chekhol-moshchnyy-pixel-53
54,Наушники Стильный Pixel-54,3347,https://picsum.photos/seed/product-54-img-0/600/600;https://picsum.photos/seed/product-54-img-1/600/600;https://picsum.photos/seed/product-54-img-2/600/600;https://picsum.photos/seed/product-54-img-3/600/600,"Описание товара Наушники Стильный Pixel-54. Это отличный выбор, если вы ищете наушники. В комплекте 4 фото.",наушники;стильный,naushniki-stilnyy-pixel-54
55,Ноутбук Флагманский Pixel-55,37775,https://picsum.photos/seed/product-55-img-0/600/600;https://picsum.photos/seed/product-55-img-1/600/600;https://picsum.photos/seed/product-55-img-2/600/600,"Описание товара Ноутбук Флагманский Pixel-55. Это отличный выбор, если вы ищете ноутбук. В комплекте 3 фото.",ноутбук;флагман,noutbuk-flagmanskiy-pixel-55
56,Часы Мощный Pixel-56,1471,https://picsum.photos/seed/product-56-img-0/600/600;https://picsum.photos/seed/product-56-img-1/600/600;https://picsum.photos/seed/product-56-img-2/600/600,"Описание товара Часы Мощный Pixel-56. Это отличный выбор, если вы ищете часы. В комплекте 3 фото.",часы;мощный,chasy-moshchnyy-pixel-56
57,Смартфон Стильный Pixel-57,25218,https://picsum.photos/seed/product-57-img-0/600/600;https://picsum.photos/seed/product-57-img-1/600/600;https://picsum.photos/seed/product-57-img-2/600/600,"Описание товара Смартфон Стильный Pixel-57. Это отличный выбор, если вы ищете смартфон. В комплекте 3 фото.",смартфон;стильный,smartfon-stilnyy-pixel-57
58,Чехол Бюджетный Pixel-58,41259,https://picsum.photos/seed/product-58-img-0/600/600;https://picsum.photos/seed/product-58-img-1/600/600,"Описание товара Чехол Бюджетный Pixel-58. Это отличный выбор, если вы ищете чехол. В комплекте 2 фото.",чехол;бюджет,chekhol-byudzhetnyy-pixel-58
59,Смартфон Стильный Pixel-59,43950,https://picsum.photos/seed/product-59-img-0/600/600;https://picsum.photos/seed/product-59-img-1/600/600;https://picsum.photos/seed/product-59-img-2/600/600,"Описание товара Смартфон Стильный Pixel-59. Это отличный выбор, если вы ищете смартфон. В комплекте 3 фото.",смартфон;стильный,smartfon-stilnyy-pixel-59
60,Наушники Бюджетный Pixel-60,29835,https://picsum.photos/seed/product-60-img-0/600/600;https://picsum.photos/seed/product-60-img-1/600/600;https://picsum.photos/seed/product-60-img-2/600/600;https://picsum.photos/seed/product-60-img-3/600/600,"Описание товара Наушники Бюджетный Pixel-60. Это отличный выбор, если вы ищете наушники. В комплекте 4 фото.",наушники;бюджет,naushniki-byudzhetnyy-pixel-60
61,Часы Мощный Pixel-61,45071,https://picsum.photos/seed/product-61-img-0/600/600;https://picsum.photos/seed/product-61-img-1/600/600;https://picsum.photos/seed/product-61-img-2/600/600;https://picsum.photos/seed/product-61-img-3/600/600,"Описание товара Часы Мощный Pixel-61. Это отличный выбор, если вы ищете часы. В комплекте 4 фото.",часы;мощный,chasy-moshchnyy-pixel-61
62,Чехол Красный Pixel-62,34151,https://picsum.photos/seed/product-62-img-0/600/600;https://picsum.photos/seed/product-62-img-1/600/600;https://picsum.photos/seed/product-62-img-2/600/600,"Описание товара Чехол Красный Pixel-62. Это отличный выбор, если вы ищете чехол. В комплекте 3 фото.",чехол;красный,chekhol-krasnyy-pixel-62
63,Чехол Бюджетный Pixel-63,39634,https://picsum.photos/seed/product-63-img-0/600/600;https://picsum.photos/seed/product-63-img-1/600/600;https://picsum.photos/seed/product-63-img-2/600/600,"Описание товара Чехол Бюджетный Pixel-63. Это отличный выбор, если вы ищете чехол. В комплекте 3 фото.",чехол;бюджет,chekhol-byudzhetnyy-pixel-63
64,Смартфон Стильный Pixel-64,3057,https://picsum.photos/seed/product-64-img-0/600/600;https://picsum.photos/seed/product-64-img-1/600/600;https://picsum.photos/seed/product-64-img-2/600/600;https://picsum.photos/seed/product-64-img-3/600/600;https://picsum.photos/seed/product-64-img-4/600/600,"Описание товара Смартфон Стильный Pixel-64. Это отличный выбор, если вы ищете смартфон. В комплекте 5 фото.",смартфон;стильный,smartfon-stilnyy-pixel-64
65,Наушники Быстрый Pixel-65,27838,https://picsum.photos/seed/product-65-img-0/600/600;https://picsum.photos/seed/product-65-img-1/600/600;https://picsum.photos/seed/product-65-img-2/600/600;https://picsum.photos/seed/product-65-img-3/600/600,"Описание товара Наушники Быстрый Pixel-65. Это отличный выбор, если вы ищете наушники. В комплекте 4 фото.",наушники;быстрый,naushniki-bystryy-pixel-65
66,Смартфон Быстрый Pixel-66,22542,https://picsum.photos/seed/product-66-img-0/600/600;https://picsum.photos/seed/product-66-img-1/600/600;https://picsum.photos/seed/product-66-img-2/600/600;https://picsum.photos/seed/product-66-img-3/600/600,"Описание товара Смартфон Быстрый Pixel-66. Это отличный выбор, если вы ищете смартфон. В комплекте 4 фото.",смартфон;быстрый,smartfon-bystryy-pixel-66
67,Наушники Красный Pixel-67,41459,https://picsum.photos/seed/product-67-img-0/600/600;https://picsum.photos/seed/product-67-img-1/600/600;https://picsum.photos/seed/product-67-img-2/600/600;https://picsum.photos/seed/product-67-img-3/600/600,"Описание товара Наушники Красный Pixel-67. Это отличный выбор, если вы ищете наушники. В комплекте 4 фото.",наушники;красный,naushniki-krasnyy-pixel-67
68,Ноутбук Стильный Pixel-68,49993,https://picsum.photos/seed/product-68-img-0/600/600;https://picsum.photos/seed/product-68-img-1/600/600,"Описание товара Ноутбук Стильный Pixel-68. Это отличный выбор, если вы ищете ноутбук. В комплекте 2 фото.",ноутбук;стильный,noutbuk-stilnyy-pixel-68
69,Ноутбук Быстрый Pixel-69,49530,https://picsum.photos/seed/product-69-img-0/600/600;https://picsum.photos/seed/product-69-img-1/600/600;https://picsum.photos/seed/product-69-img-2/600/600;https://picsum.photos/seed/product-69-img-3/600/600,"Описание товара Ноутбук Быстрый Pixel-69. Это отличный выбор, если вы ищете ноутбук. В комплекте 4 фото.",ноутбук;быстрый,noutbuk-bystryy-pixel-69
70,Ноутбук Бюджетный Pixel-70,11893,https://picsum.photos/seed/product-70-img-0/600/600;https://picsum.photos/seed/product-70-img-1/600/600;https://picsum.photos/seed/product-70-img-2/600/600,"Описание товара Ноутбук Бюджетный Pixel-70. Это отличный выбор, если вы ищете ноутбук. В комплекте 3 фото.",ноутбук;бюджет,noutbuk-byudzhetnyy-pixel-70
71,Смартфон Флагманский Pixel-71,16750,https://picsum.photos/seed/product-71-img-0/600/600;https://picsum.photos/seed/product-71-img-1/600/600,"Описание товара Смартфон Флагманский Pixel-71. Это отличный выбор, если вы ищете смартфон. В комплекте 2 фото.",смартфон;флагман,smartfon-flagmanskiy-pixel-71
72,Смартфон Стильный Pixel-72,6879,https://picsum.photos/seed/product-72-img-0/600/600;https://picsum.photos/seed/product-72-img-1/600/600;https://picsum.photos/seed/product-72-img-2/600/600;https://picsum.photos/seed/product-72-img-3/600/600;https://picsum.photos/seed/product-72-img-4/600/600,"Описание товара Смартфон Стильный Pixel-72. Это отличный выбор, если вы ищете смартфон. В комплекте 5 фото.",смартфон;стильный,smartfon-stilnyy-pixel-72
73,Наушники Быстрый Pixel-73,46581,https://picsum.photos/seed/product-73-img-0/600/600;https://picsum.photos/seed/product-73-img-1/600/600;https://picsum.photos/seed/product-73-img-2/600/600;https://picsum.photos/seed/product-73-img-3/600/600;https://picsum.photos/seed/product-73-img-4/600/600,"Описание товара Наушники Быстрый Pixel-73. Это отличный выбор, если вы ищете наушники. В комплекте 5 фото.",наушники;быстрый,naushniki-bystryy-pixel-73
74,Смартфон Бюджетный Pixel-74,17876,https://picsum.photos/seed/product-74-img-0/600/600;https://picsum.photos/seed/product-74-img-1/600/600;https://picsum.photos/seed/product-74-img-2/600/600;https://picsum.photos/seed/product-74-img-3/600/600;https://picsum.photos/seed/product-74-img-4/600/600,"Описание товара Смартфон Бюджетный Pixel-74. Это отличный выбор, если вы ищете смартфон. В комплекте 5 фото.",смартфон;бюджет,smartfon-byudzhetnyy-pixel-74
